squad,outcome,count
 Chelsea,Blocked,3
 Chelsea,Goal,2
 Chelsea,Off Target,9
 Chelsea,Saved,3
 Everton,Blocked,4
 Everton,Off Target,3
 Everton,Saved,2
 Everton,Saved off Target,1
 Everton,Woodwork,1
