squad,distance_zone,shots
 Chelsea,0-6 yards,3
 Chelsea,6-12 yards,3
 Chelsea,12-18 yards,5
 Chelsea,18+ yards,6
 Everton,0-6 yards,2
 Everton,6-12 yards,2
 Everton,12-18 yards,5
 Everton,18+ yards,2
