team,#,min,att,live,dead,fk,tb,sw,crs,ti,ck,in,out,str,cmp,off,blocks
Aston Villa,269.0,1980.0,750.0,658.0,86.0,30.0,4.0,2.0,14.0,16.0,10.0,6.0,0.0,0.0,578.0,6.0,12.0
Manchester United,306.0,1980.0,1020.0,932.0,86.0,26.0,4.0,6.0,52.0,38.0,10.0,10.0,0.0,0.0,834.0,2.0,24.0
