squad,outcome,count
 Aston Villa,Blocked,5
 Aston Villa,Goal,2
 Aston Villa,Off Target,2
 Aston Villa,Saved,2
 Aston Villa,Woodwork,1
 Manchester Utd,Blocked,3
 Manchester Utd,Off Target,5
 Manchester Utd,Saved,5
