squad,distance_zone,shots
 Aston Villa,0–6 yards,1
 Aston Villa,6–12 yards,2
 Aston Villa,12–18 yards,4
 Aston Villa,18+ yards,5
 Manchester Utd,0–6 yards,0
 Manchester Utd,6–12 yards,2
 Manchester Utd,12–18 yards,2
 Manchester Utd,18+ yards,9
