minute,squad,player,player,player,xg
4.0, Newcastle Utd,Nick Woltemade,Anthony Gordon,,0.42
20.0, Newcastle Utd,Nick Woltemade,Anthony Gordon,Lewis Hall,0.23
49.0, Chelsea,Reece James,Cole Palmer,Reece James,0.04
66.0, Chelsea,João Pedro,Robert Sánchez,,0.49
