squad,outcome,count
 Chelsea,Blocked,4
 Chelsea,Goal,2
 Chelsea,Off Target,5
 Chelsea,Saved,2
 Newcastle Utd,Goal,2
 Newcastle Utd,Off Target,5
 Newcastle Utd,Saved,3
