squad,distance_zone,shots
 Bournemouth,0-6 yards,1
 Bournemouth,6-12 yards,1
 Bournemouth,12-18 yards,4
 Bournemouth,18+ yards,5
 Manchester Utd,0-6 yards,2
 Manchester Utd,6-12 yards,5
 Manchester Utd,12-18 yards,8
 Manchester Utd,18+ yards,8
